INFO 2025-04-21 23:58:46,573 basehttp 7 281472864940448 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,575 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:58:46,575 basehttp 7 281472739111328 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,581 basehttp 7 281472760082848 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,580 basehttp 7 281472843968928 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,581 basehttp 7 281472728625568 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,583 basehttp 7 281472864940448 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,584 basehttp 7 281472749597088 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,585 basehttp 7 281472739111328 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,585 basehttp 7 281472843968928 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,586 basehttp 7 281472728625568 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:58:46,588 basehttp 7 281472843968928 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
